control_id,iteration,fact_index,mover_score,is_found_binary,status,fact_text,evidence_found
148,1,1,0.8602,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreased positively from 1963 to 451
148,1,2,0.5919,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,the volume of active and closed cases necessitates an investigation into data accuracy for incident creation
148,1,3,0.7642,0,INDICATED,323 closed incidents had high severity.,closed incidents show poor compliance with 323
148,1,4,0.7672,0,INDICATED,216 closed incidents had critical severity.,216 as critical severity immediate remediation
148,1,5,0.5755,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",the 1598 closed incidents show poor compliance with
148,1,6,0.7675,0,INDICATED,Average process fitness was approximately 0.695,average fitness of 0.6948
148,1,7,0.7606,0,INDICATED,The average SLA was very low with 44.43%.,a critically low sla attainment rate of 44.43%
148,1,8,0.5484,0,MISSING,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,average fitness of 0.6948 however a critically low sla attainment rate of 44.43%
148,2,1,0.8938,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreased significantly from 1963 to 451
148,2,2,0.5851,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,the incident management process shows moderate compliance with an average fitness of 0.69 while active incidents
148,2,3,0.6041,0,INDICATED,323 closed incidents had high severity.,incident management process shows moderate compliance
148,2,4,0.594,0,MISSING,216 closed incidents had critical severity.,were high or critical severity)
148,2,5,0.5733,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",an average fitness of 0.69 while active incidents decreased significantly
148,2,6,0.7764,0,INDICATED,Average process fitness was approximately 0.695,average fitness of 0.69 while active
148,2,7,0.7352,0,INDICATED,The average SLA was very low with 44.43%.,that only 44.43% of incidents met their sla
148,2,8,0.6065,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,average resolution time of 21807.82 minutes to ensure contractual obligations are met
148,3,1,0.9523,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreasing from 1963 to 451
148,3,2,0.579,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,the incident management process shows moderate compliance with an average fitness of 0.69
148,3,3,0.7336,0,INDICATED,323 closed incidents had high severity.,323 high and 216 critical severity incidents
148,3,4,0.81,0,INDICATED,216 closed incidents had critical severity.,216 critical severity incidents
148,3,5,0.5738,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",the closure of 323 high and 216 critical
148,3,6,0.786,0,INDICATED,Average process fitness was approximately 0.695,average fitness of 0.69 falling
148,3,7,0.764,0,INDICATED,The average SLA was very low with 44.43%.,the low sla adherence with only 44.43%
148,3,8,0.6021,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,323 high and 216 critical severity incidents along with an average resolution time of approximately 15
148,4,1,1.0,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreased from 1963 to 451
148,4,2,0.5837,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,compliance severity indicating substantial deviations from the reference model for these cases while the number of active incidents decreased
148,4,3,0.5978,0,MISSING,323 closed incidents had high severity.,(540 incidents) were classified with high
148,4,4,0.5941,0,MISSING,216 closed incidents had critical severity.,or critical process compliance severity indicating
148,4,5,0.5688,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",despite achieving a moderate average process fitness of 0.69
148,4,6,0.8018,0,INDICATED,Average process fitness was approximately 0.695,average process fitness of 0.69
148,4,7,0.7579,0,INDICATED,The average SLA was very low with 44.43%.,low sla adherence of 44.43% despite
148,4,8,0.5511,0,MISSING,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,the 1598 incidents closed a significant 33.7% (540 incidents) were classified
148,5,1,0.894,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents significantly decreased from 1963 to 451
148,5,2,0.5785,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,of incidents met their sla indicating a significant breach of contractual obligations among the closed incidents
148,5,3,0.7215,0,INDICATED,323 closed incidents had high severity.,323 high and 216 critical in severity
148,5,4,0.7441,0,INDICATED,216 closed incidents had critical severity.,216 critical in severity immediate remediation
148,5,5,0.5711,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",a significant breach of contractual obligations among the closed incidents
148,5,6,0.7633,0,INDICATED,Average process fitness was approximately 0.695,overall process compliance is moderate at 0.69
148,5,7,0.7401,0,INDICATED,The average SLA was very low with 44.43%.,only 44.43% of incidents met their sla indicating
148,5,8,0.5482,0,MISSING,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,opened and 1598 incidents closed the overall process compliance is moderate at 0.69 (within
148,6,1,1.0,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents decreased from 1963 to 451
148,6,2,0.5831,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,at a moderate compliance level highlighting notable deviations from the defined reference model
148,6,3,0.5956,0,MISSING,323 closed incidents had high severity.,incident management compliance indicates significant
148,6,4,0.5883,0,MISSING,216 closed incidents had critical severity.,incident management compliance indicates significant
148,6,5,0.5717,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",0.69 is only at a moderate compliance level highlighting notable deviations
148,6,6,0.8054,0,INDICATED,Average process fitness was approximately 0.695,average process fitness of 0.69 is
148,6,7,0.7547,0,INDICATED,The average SLA was very low with 44.43%.,oversight only 44.43% of incidents met sla requirements
148,6,8,0.6172,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,compliance and the lengthy average time to resolve incidents (over 15 days)
148,7,1,0.8183,0,INDICATED,Active incidents decreased from 1963 to 451.,decrease in active incidents from 1963 to 451
148,7,2,0.6163,0,INDICATED,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,for the selected period incident management shows a net decrease in active incidents
148,7,3,0.6213,0,INDICATED,323 closed incidents had high severity.,5 new incidents recorded
148,7,4,0.6119,0,INDICATED,216 closed incidents had critical severity.,5 new incidents recorded
148,7,5,0.5776,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",selected period incident management shows a net decrease in active incidents
148,7,6,0.7775,0,INDICATED,Average process fitness was approximately 0.695,overall process fitness is moderate at 0.6948
148,7,7,0.7319,0,INDICATED,The average SLA was very low with 44.43%.,however contractual obligations are severely unmet as only 44.43%
148,7,8,0.5456,0,MISSING,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,and 1598 incidents closed categorized primarily as moderate (562) and low (497)
148,8,1,0.571,0,MISSING,Active incidents decreased from 1963 to 451.,moderate compliance (fitness 0.69) but
148,8,2,0.579,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,accurate new incident tracking within the reporting period as only 5 new incidents
148,8,3,0.619,0,INDICATED,323 closed incidents had high severity.,of closed incidents were of high
148,8,4,0.6046,0,INDICATED,216 closed incidents had critical severity.,5 new incidents are recorded
148,8,5,0.5667,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",metric for accurate new incident tracking within the
148,8,6,0.7506,0,INDICATED,Average process fitness was approximately 0.695,compliance (fitness 0.69) but critically
148,8,7,0.7494,0,INDICATED,The average SLA was very low with 44.43%.,on contractual obligations with only 44.43% of slas
148,8,8,0.6341,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,15 days (21807.82 minutes) a significant concern is that 0% of incidents were resolved
148,9,1,0.5693,0,MISSING,Active incidents decreased from 1963 to 451.,compliance shows a moderate process fitness of 0.69
148,9,2,0.5763,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,the incident management compliance shows a moderate process fitness of 0.69 which is acceptable
148,9,3,0.5948,0,MISSING,323 closed incidents had high severity.,critical severity remediation must focus
148,9,4,0.6041,0,INDICATED,216 closed incidents had critical severity.,or critical severity remediation
148,9,5,0.5789,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",the incident management compliance shows a moderate process fitness of 0.69
148,9,6,0.7693,0,INDICATED,Average process fitness was approximately 0.695,moderate process fitness of 0.69
148,9,7,0.7475,0,INDICATED,The average SLA was very low with 44.43%.,the low sla adherence rate of only 44.43%
148,9,8,0.6128,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,average resolution time of approximately 15 days additionally 33.7% of all incidents closed
148,10,1,0.8845,1,FOUND,Active incidents decreased from 1963 to 451.,active incidents significantly reduced from 1963 to 451
148,10,2,0.5722,0,MISSING,The decrease in active incidents suggests mass incidents in the previous month or a resolved backlog.,the reporting period incident management shows a **moderate process fitness of 0.69** indicating
148,10,3,0.6117,0,INDICATED,323 closed incidents had high severity.,incidents were closed including 216 critical
148,10,4,0.755,0,INDICATED,216 closed incidents had critical severity.,incidents were closed including 216 critical
148,10,5,0.5701,0,MISSING,"A mass closure of active incidents began on Friday, June 3.",a critical concern is the **low sla achievement rate of
148,10,6,0.7659,0,INDICATED,Average process fitness was approximately 0.695,process fitness of 0.69** indicating
148,10,7,0.7489,0,INDICATED,The average SLA was very low with 44.43%.,the **low sla achievement rate of 44.43%**
148,10,8,0.6767,0,INDICATED,Average time to resolve incidents was 15 days 3 hours 27 minutes (21807 minutes).,average time to resolve incidents (21807.82 minutes or ~15.14 days)** while
149,1,1,0.5832,0,MISSING,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,1653 respectively) and average durations (e.g awaiting at 16d 8h 10min) that far exceed non-acceptable thresholds
149,1,2,0.6333,0,INDICATED,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,1653 respectively) and average durations (e.g awaiting at 16d 8h 10min) that far exceed non-acceptable thresholds
149,1,3,0.6403,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,1653 respectively) and average durations (e.g awaiting at 16d 8h 10min) that far exceed non-acceptable thresholds
149,1,4,0.6115,0,INDICATED,Transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,and 1653 respectively) and average durations (e.g awaiting at 16d 8h 10min)
149,2,1,0.6382,0,INDICATED,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,averages 5 days 0 hours 4 minutes highlighting significant bottlenecks remediation is required
149,2,2,0.6505,0,INDICATED,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,an exceptionally long average duration of 16 days 8 hours 10 minutes and the 'resolution'
149,2,3,0.6601,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,an exceptionally long average duration of 16 days 8 hours 10 minutes and the 'resolution' to
149,2,4,0.6296,0,INDICATED,Transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,16 days 8 hours 10 minutes and the 'resolution' to 'closure' transition averages 5 days
149,3,1,0.5697,0,MISSING,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,"top variant ""n r c"" occurring 182 times which deviates from the required"
149,3,2,0.5692,0,MISSING,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,"the top variant ""n r c"" occurring 182 times which deviates from the required"
149,3,3,0.6084,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,of state repetitions and the excessive 16-day average duration for the 'awaiting' state
149,3,4,0.551,0,MISSING,Transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,"top variant ""n r c"" occurring 182 times which deviates from the required"
149,4,1,0.6321,0,INDICATED,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,process exhibits severe compliance issues the average durations for 'detection' (4d 6h 35min)
149,4,2,0.6327,0,INDICATED,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,8h 10min) and 'resolution' (5d 22h 11min) all critically exceed their acceptable time thresholds
149,4,3,0.6419,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,10min) and 'resolution' (5d 22h 11min) all critically exceed their acceptable time thresholds
149,4,4,0.6059,0,INDICATED,Transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,8h 10min) and 'resolution' (5d 22h 11min) all critically exceed their acceptable time
149,5,1,0.5735,0,MISSING,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,activation (12895 min) awaiting (23530 min) and resolution (8531 min) critically exceed non-acceptable times
149,5,2,0.5764,0,MISSING,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,activation (12895 min) awaiting (23530 min) and resolution (8531 min) critically exceed non-acceptable times
149,5,3,0.6275,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,activation (12895 min) awaiting (23530 min) and resolution (8531 min) critically exceed non-acceptable times
149,5,4,0.5666,0,MISSING,Transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,(12895 min) awaiting (23530 min) and resolution (8531 min) critically exceed non-acceptable times
149,6,1,0.6028,0,INDICATED,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,average duration of 16 days 8 hours 10 minutes in the 'awaiting' (w) state
149,6,2,0.654,0,INDICATED,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,average duration of 16 days 8 hours 10 minutes in the 'awaiting' (w) state
149,6,3,0.6694,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,prolonged average duration of 16 days 8 hours 10 minutes in the 'awaiting' (w) state
149,6,4,0.6213,0,INDICATED,Transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,average duration of 16 days 8 hours 10 minutes in the 'awaiting' (w)
149,7,1,0.6432,0,INDICATED,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,(r) violating the defined reference model average durations for 'detection' (4d 6h 35min)
149,7,2,0.6365,0,INDICATED,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,8h 10min) and 'resolution' (5d 22h 11min) critically exceed non-acceptable thresholds indicating severe
149,7,3,0.6413,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,10min) and 'resolution' (5d 22h 11min) critically exceed non-acceptable thresholds indicating severe bottlenecks
149,7,4,0.6103,0,INDICATED,Transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,8h 10min) and 'resolution' (5d 22h 11min) critically exceed non-acceptable thresholds indicating severe bottlenecks
149,8,1,0.6153,0,INDICATED,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,time limits (e.g detection avg 4d 6h vs >=2880min non-acceptable) and non-compliant transitions
149,8,2,0.5611,0,MISSING,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,time limits (e.g detection avg 4d 6h vs >=2880min non-acceptable) and non-compliant transitions
149,8,3,0.5693,0,MISSING,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,detection avg 4d 6h vs >=2880min non-acceptable) and non-compliant transitions like 'n->w' and
149,8,4,0.5438,0,MISSING,Transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,surpassing non-acceptable time limits (e.g detection avg 4d 6h vs >=2880min non-acceptable)
149,9,1,0.6277,0,INDICATED,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,non-compliance with the reference model average state durations for `detection` (6155 min) `activation` (12655
149,9,2,0.6279,0,INDICATED,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,critical non-compliance with the reference model average state durations for `detection` (6155 min) `activation` (12655
149,9,3,0.6303,0,INDICATED,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,(23530 min) and `resolution` (8531 min) are significantly beyond non-acceptable thresholds furthermore there
149,9,4,0.5599,0,MISSING,Transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,(12655 min) `awaiting` (23530 min) and `resolution` (8531 min) are significantly beyond non-acceptable
149,10,1,0.5609,0,MISSING,Average detection duration was 4 days 6 hours 35 minutes (6155 minutes). Above the acceptable threshold.,average state durations for 'detection' 'activation' 'awaiting' and 'resolution' are critically above their acceptable thresholds
149,10,2,0.5613,0,MISSING,Average activation duration was 8 days 18 hours 55 minutes (12655 minutes). Above the acceptable threshold.,average state durations for 'detection' 'activation' 'awaiting' and 'resolution' are critically above their acceptable thresholds
149,10,3,0.5612,0,MISSING,Average awaiting duration was 16 days 8 hours 10 minutes (23530 minutes). Above the acceptable threshold.,process shows significant compliance issues within the selected period average state durations for 'detection' 'activation' 'awaiting'
149,10,4,0.5392,0,MISSING,Transition time from awaiting to resolution was 8 days 1 hour 19 minutes (11599 minutes).,(n->w) and 'detection' to 'resolution' (n->r) transitions highlight frequent non-compliant process executions
150,1,1,0.7696,0,INDICATED,The most common variant (NRC) (Count 182) is non-compliant due to missing activation,"recorded variant is ""n r c"" (182 incidents) indicating a critical non-compliance"
150,1,2,0.6246,0,INDICATED,Variants ARC (count 135) are missing detections and are non-compliant.,(182 incidents) indicating a critical non-compliance where incidents transition directly
150,1,3,0.6463,0,INDICATED,The most frequent variants show repetitive detections before activation.,the required activation state in the reference
150,1,4,0.6074,0,INDICATED,Variants with awaiting state frequently show repetitive awaiting events.,incidents) further highlights high repetition in the detection state
150,2,1,0.7772,0,INDICATED,The most common variant (NRC) (Count 182) is non-compliant due to missing activation,the most frequent recorded variants reveal significant non-compliance with `n r c` (182 incidents)
150,2,2,0.7664,0,INDICATED,Variants ARC (count 135) are missing detections and are non-compliant.,c` (135 incidents) starting directly at 'activation' without
150,2,3,0.6935,0,INDICATED,The most frequent variants show repetitive detections before activation.,the most frequent recorded variants reveal significant
150,2,4,0.6145,0,INDICATED,Variants with awaiting state frequently show repetitive awaiting events.,frequent recorded variants reveal significant non-compliance
150,3,1,0.763,0,INDICATED,The most common variant (NRC) (Count 182) is non-compliant due to missing activation,"the top variant ""n r c"" (182 occurrences) indicates incidents directly moving from detection to"
150,3,2,0.766,0,INDICATED,Variants ARC (count 135) are missing detections and are non-compliant.,"c"" (135 occurrences) skips detection entirely initiating at activation"
150,3,3,0.7035,0,INDICATED,The most frequent variants show repetitive detections before activation.,the most frequent recorded incident variants reveal significant deviations
150,3,4,0.6217,0,INDICATED,Variants with awaiting state frequently show repetitive awaiting events.,frequent recorded incident variants reveal significant
150,4,1,0.7646,0,INDICATED,The most common variant (NRC) (Count 182) is non-compliant due to missing activation,the most frequent incident management variants are 'n r c' (182 incidents)
150,4,2,0.7659,0,INDICATED,Variants ARC (count 135) are missing detections and are non-compliant.,r c' (135 incidents) which significantly deviate
150,4,3,0.6655,0,INDICATED,The most frequent variants show repetitive detections before activation.,the most frequent incident management variants are
150,4,4,0.5948,0,MISSING,Variants with awaiting state frequently show repetitive awaiting events.,most frequent incident management variants are
150,5,1,0.7947,0,INDICATED,The most common variant (NRC) (Count 182) is non-compliant due to missing activation,the most frequent variant 'n r c' (182 incidents) reveals a significant non-compliance where
150,5,2,0.7681,0,INDICATED,Variants ARC (count 135) are missing detections and are non-compliant.,c' (135 incidents) leveraging the allowed 'activation'
150,5,3,0.64,0,INDICATED,The most frequent variants show repetitive detections before activation.,the second most frequent compliant path is
150,5,4,0.5967,0,MISSING,Variants with awaiting state frequently show repetitive awaiting events.,most frequent compliant path is 'a
150,6,1,0.7651,0,INDICATED,The most common variant (NRC) (Count 182) is non-compliant due to missing activation,r c' (182 occurrences) which deviates from the reference model by skipping the 'activation'
150,6,2,0.7595,0,INDICATED,Variants ARC (count 135) are missing detections and are non-compliant.,c' (135 occurrences) suggests incidents frequently start at 'activation' potentially missing
150,6,3,0.6407,0,INDICATED,The most frequent variants show repetitive detections before activation.,the most frequent incident variant is 'n r
